Lamborghini,URUS,NA,NA,NA,NA,NA,"3,996 cm3 (243.85 cu in)",NA,"650 CV (478 kW) @ 6,000 rpm",3.6 s,305 km/h ,NA
porsche,Taycan 4S,1379,1966,2144,4963,NA,NA,"25,7",435,"2,8",250,"108.337,00"
porsche,Taycan Turbo,1379,1966,2144,4963,NA,NA,"25,7",435,"2,8",250,"155.648,00"
porsche,Taycan Turbo S,1379,1966,2144,4963,NA,NA,"25,7",435,"2,8",250,"189.528,00"
porsche,Panamera 4,1423,1937,2165,5049,1865,2894,"11,3",330,"5,5",262,"108.794,00"
porsche,Panamera 4 10 Years Edition,1423,1937,2165,5049,1865,2894,"11,3",330,"5,5",262,"127.230,00"
porsche,Panamera 4 Sport Turismo,1428,1937,2165,5049,1910,2894,"11,5",330,"5,5",259,"116.212,00"
porsche,Panamera 4 Sport Turismo 10 Years Edition,1428,1937,2165,5049,1910,2894,"11,5",330,"5,5",259,"134.810,00"
porsche,Panamera 4 Executive,1428,1937,2165,5199,1975,2894,"11,3",330,"5,6",262,"119.385,00"
porsche,Panamera 4S,1423,1937,2165,5049,1870,2894,"11,8",440,"4,4",289,"131.283,00"
porsche,Panamera 4S Sport Turismo,1428,1937,2165,5049,1915,2894,"11,9",440,"4,4",286,"136.513,00"
porsche,Panamera 4S Executive,1428,1937,2165,5199,1980,2894,"11,8",440,"4,5",289,"146.450,00"
porsche,Panamera GTS,1417,1937,2165,5053,1995,3996,"12,7",460,"4,1",292,"161.688,00"
porsche,Panamera GTS Sport Turismo,1422,1937,2165,5053,2025,3996,"12,7",460,"4,1",289,"164.946,00"
porsche,Panamera Turbo,1427,1937,2165,5049,1995,3996,"12,7",550,"3,8",306,"183.951,00"
porsche,Panamera Turbo Sport Turismo,1432,1937,2165,5049,2035,3996,"12,7",550,"3,8",304,"187.209,00"
porsche,Panamera Turbo Executive,1432,1937,2165,5199,2100,3996,"12,7",550,"3,9",306,"199.291,00"
porsche,Panamera 4 E-Hybrid,1423,1937,2165,5049,2170,2894,"3,6",462,"4,6",278,"116.411,00"
porsche,Panamera 4 E-Hybrid 10 Years Edition,1423,1937,2165,5049,2170,2894,"3,6",462,"4,6",278,"131.294,00"
porsche,Panamera 4 E-Hybrid Sport Turismo,1428,1937,2165,5049,2190,2894,"3,7",462,"4,6",275,"119.315,00"
porsche,Panamera 4 E-Hybrid Sport Turismo 10 Years Edition,1428,1937,2165,5049,2190,2894,"3,7",462,"4,6",275,"133.593,00"
porsche,Panamera 4 E-Hybrid Executive,1428,1937,2165,5199,2250,2894,"3,6",462,"4,7",278,"124.034,00"
porsche,Panamera Turbo S E-Hybrid,1427,1937,2165,5049,2310,3996,"3,8",680,"3,4",310,"194.819,00"
porsche,Panamera Turbo S E-Hybrid Sport Turismo,1432,1937,2165,5049,2325,3996,"3,9",680,"3,4",310,"197.723,00"
porsche,Panamera Turbo S E-Hybrid Executive,1432,1937,2165,5199,2410,3996,"3,8",680,"3,5",310,"208.492,00"
porsche,Macan,205,1923,2098,4696,1795,1984,"11,0",245,"6,7",225,"67.152,00"
porsche,Macan S,205,1923,2098,4696,1865,2995,"11,8",354,"5,3",254,"76.100,00"
porsche,Macan GTS,190,1926,2098,4686,1910,2894,"11,8",380,"4,9",261,"90.354,00"
porsche,Macan Turbo,205,1926,2098,4684,1945,2894,"12,0",440,"4,5",270,"106.372,00"
porsche,Cayenne,210,1983,2194,4918,1985,2995,"12,7",340,"6,2",245,"89.208,00"
porsche,Cayenne E-Hybrid,210,1983,2194,4918,2295,2995,"4,7",462,"5,0",253,"94.761,00"
porsche,Cayenne S,210,1983,2194,4918,2020,2894,"12,9",440,"5,2",265,"109.163,00"
porsche,Cayenne Turbo,190,1983,2194,4926,2175,3996,"14,0",550,"4,1",286,"163.328,00"
porsche,Cayenne Turbo S E-Hybrid,190,1983,2194,4926,2490,3996,"5,4",680,"3,8",295,"177.041,00"
porsche,Cayenne Coupé,210,1983,2194,4931,2030,2995,"12,7",340,"6,0",243,"97.217,00"
porsche,Cayenne E-Hybrid Coupé,210,1983,2194,4931,2360,2995,"4,7",462,"5,1",253,"99.117,00"
porsche,Cayenne S Coupé,210,1983,2194,4931,2050,2894,"12,9",440,"5,0",263,"115.408,00"
porsche,Cayenne Turbo Coupé,190,1989,2194,4939,2200,3996,"14,0",550,"3,9",286,"169.029,00"
porsche,Cayenne Turbo S E-Hybrid Coupé,190,1989,2194,4939,2535,3996,"5,4",680,"3,8",295,"180.792,00"
